Purchase History,購入履歴
Favorite, お気に入り
"View and Edit Cart","カートを見る"
New registration,新規登録
My page,マイページ
Logout,ログアウト
Guide, はじめての方
Question, よくあるご質問
"Business website / Seal printing, sticker and label specialty store","事業者向けサイト / シール印刷・ステッカー・ラベルの専門店"
"Monthly Archive",月別アーカイブ
Topics,トピック
"View more topics and news","トピック・ニュースをもっと見る"
"Order details", 注文明細
"Add to Wish List",ほしいものリストに追加
"Show Password","パスワードを表示"
"You have no other address entries in your address book.",住所一覧に他の住所は登録されておりません。
"My Orders",注文履歴
"Add New Address",住所を追加
"Allow remote shopping assistance",管理者によるリモート操作を許可
This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.,"お客様がサイト上の操作においてご不明な際に、管理者が確認して代わりに操作をすることが可能になります。"
"Are you sure you want to remove this item from your Compare Products list?","比較リストからこの商品を削除してよろしいですか？"
"You added product %1 to the <a href=""%2"">comparison list</a>.","製品 %1 <a href=""%2"">を比較リストに追加しました</a>"
SKU,商品コード
Description,概要
Short Description,説明
"Move to Wishlist",ほしいものリストに移動
Enter your destination to get a shipping estimate.,配送先を入力して支払金額を確認する.
Flat Rate, ヤマト運輸
The requested qty exceeds the maximum qty allowed in shopping cart, ショッピングカートに入れられる最大数量を超えています。
"Are you sure you want to remove all items from your Compare Products list?",リスト内の商品を全て削除してよろしいですか？
%1 has been removed from your Wish List.,お気に入りリストから削除されました。
